"","modelType","seed","nCellType","nSample","Batch","CancerType","pooled_scSTMseq"
"198","NullModel","1730500433",5,20,FALSE,FALSE,1
"199","NullModel","1730500455",5,20,FALSE,FALSE,1
"200","NullModel","1730500471",5,20,FALSE,FALSE,1
"201","NullModel","1730500490",5,20,FALSE,FALSE,1
"202","NullModel","1730500537",5,20,FALSE,FALSE,1
"203","NullModel","1730500570",5,20,FALSE,FALSE,1
"204","NullModel","1730500574",5,20,FALSE,FALSE,1
"205","NullModel","1730500619",5,20,FALSE,FALSE,1
"206","NullModel","1730500627",5,20,FALSE,FALSE,1
"207","NullModel","1730500644",5,20,FALSE,FALSE,1
"208","NullModel","1730500648",5,20,FALSE,FALSE,1
"209","NullModel","1730500718",5,20,FALSE,FALSE,1
"210","NullModel","1730500771",5,20,FALSE,FALSE,1
"211","NullModel","1730500772",5,20,FALSE,FALSE,1
"212","NullModel","1730500778",5,20,FALSE,FALSE,1
"213","NullModel","1730500816",5,20,FALSE,FALSE,1
"214","NullModel","1730500829",5,20,FALSE,FALSE,1
"215","NullModel","1730500849",5,20,FALSE,FALSE,1
"216","NullModel","1730500880",5,20,FALSE,FALSE,1
"217","NullModel","1730500927",5,20,FALSE,FALSE,1
"218","NullModel","1730500936",5,20,FALSE,FALSE,1
"219","NullModel","1730500946",5,20,FALSE,FALSE,1
"220","NullModel","1730500956",5,20,FALSE,FALSE,1
"221","NullModel","1730500972",5,20,FALSE,FALSE,1
"222","NullModel","1730501000",5,20,FALSE,FALSE,1
"223","NullModel","1730501031",5,20,FALSE,FALSE,1
"224","NullModel","1730501066",5,20,FALSE,FALSE,1
"225","NullModel","1730501107",5,20,FALSE,FALSE,1
"226","NullModel","1730501142",5,20,FALSE,FALSE,1
"227","NullModel","1730501172",5,20,FALSE,FALSE,1
"228","NullModel","1730501187",5,20,FALSE,FALSE,1
"229","NullModel","1730501210",5,20,FALSE,FALSE,1
"230","NullModel","1730501219",5,20,FALSE,FALSE,1
"231","NullModel","1730501246",5,20,FALSE,FALSE,1
"232","NullModel","1730501290",5,20,FALSE,FALSE,1
"233","NullModel","1730501337",5,20,FALSE,FALSE,1
"234","NullModel","1730501345",5,20,FALSE,FALSE,1
"235","NullModel","1730501353",5,20,FALSE,FALSE,1
"236","NullModel","1730501355",5,20,FALSE,FALSE,1
"237","NullModel","1730501381",5,20,FALSE,FALSE,1
"238","NullModel","1730501394",5,20,FALSE,FALSE,1
"239","NullModel","1730501399",5,20,FALSE,FALSE,1
"240","NullModel","1730501413",5,20,FALSE,FALSE,1
"241","NullModel","1730501417",5,20,FALSE,FALSE,1
"242","NullModel","1730501427",5,20,FALSE,FALSE,1
"243","NullModel","1730501450",5,20,FALSE,FALSE,1
"244","NullModel","1730501463",5,20,FALSE,FALSE,1
"245","NullModel","1730501473",5,20,FALSE,FALSE,1
"246","NullModel","1730501497",5,20,FALSE,FALSE,1
"247","NullModel","1730501532",5,20,FALSE,FALSE,1
"248","NullModel","1730501538",5,20,FALSE,FALSE,1
"249","NullModel","1730501592",5,20,FALSE,FALSE,1
"250","NullModel","1730501604",5,20,FALSE,FALSE,1
"251","NullModel","1730501608",5,20,FALSE,FALSE,1
"252","NullModel","1730501616",5,20,FALSE,FALSE,1
"253","NullModel","1730501650",5,20,FALSE,FALSE,1
"254","NullModel","1730501655",5,20,FALSE,FALSE,1
"255","NullModel","1730501676",5,20,FALSE,FALSE,1
"256","NullModel","1730501697",5,20,FALSE,FALSE,1
"257","NullModel","1730501760",5,20,FALSE,FALSE,1
"258","NullModel","1730501804",5,20,FALSE,FALSE,1
"259","NullModel","1730501840",5,20,FALSE,FALSE,1
"260","NullModel","1730501907",5,20,FALSE,FALSE,1
"261","NullModel","1730501910",5,20,FALSE,FALSE,1
"262","NullModel","1730501916",5,20,FALSE,FALSE,1
"263","NullModel","1730501918",5,20,FALSE,FALSE,1
"264","NullModel","1730501950",5,20,FALSE,FALSE,1
"265","NullModel","1730501961",5,20,FALSE,FALSE,1
"266","NullModel","1730501968",5,20,FALSE,FALSE,1
"267","NullModel","1730501971",5,20,FALSE,FALSE,1
"268","NullModel","1730501974",5,20,FALSE,FALSE,1
"269","NullModel","1730501975",5,20,FALSE,FALSE,1
"270","NullModel","1730502028",5,20,FALSE,FALSE,1
"271","NullModel","1730502048",5,20,FALSE,FALSE,1
"272","NullModel","1730502142",5,20,FALSE,FALSE,1
"273","NullModel","1730502147",5,20,FALSE,FALSE,1
"274","NullModel","1730502188",5,20,FALSE,FALSE,1
"275","NullModel","1730502214",5,20,FALSE,FALSE,1
"276","NullModel","1730502217",5,20,FALSE,FALSE,1
"277","NullModel","1730502219",5,20,FALSE,FALSE,1
"278","NullModel","1730502253",5,20,FALSE,FALSE,1
"279","NullModel","1730502267",5,20,FALSE,FALSE,1
"280","NullModel","1730502304",5,20,FALSE,FALSE,1
"281","NullModel","1730502336",5,20,FALSE,FALSE,1
"282","NullModel","1730502360",5,20,FALSE,FALSE,1
"283","NullModel","1730502369",5,20,FALSE,FALSE,1
"284","NullModel","1730502409",5,20,FALSE,FALSE,1
"285","NullModel","1730502415",5,20,FALSE,FALSE,1
"286","NullModel","1730502462",5,20,FALSE,FALSE,1
