"","scSTMTyoe","modelType","seed","nCellType","nSample","Batch","CancerType","pooled_scSTMseq","Seurat"
"seurat...150","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631769",10,10,FALSE,TRUE,1,1
"seurat...151","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631804",10,10,FALSE,TRUE,1,1
"seurat...152","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631904",10,10,FALSE,TRUE,1,1
"seurat...153","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631925",10,10,FALSE,TRUE,1,1
"seurat...154","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631938",10,10,FALSE,TRUE,1,0.962590114677292
"seurat...155","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631969",10,10,FALSE,TRUE,1,0.973650222586902
"seurat...156","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733631979",10,10,FALSE,TRUE,1,1
"seurat...157","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632049",10,10,FALSE,TRUE,1,0.97741624539551
"seurat...158","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632055",10,10,FALSE,TRUE,1,0.978002550723634
"seurat...159","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632072",10,10,FALSE,TRUE,1,0.983811955567489
"seurat...160","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632073",10,10,FALSE,TRUE,1,1
"seurat...161","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632097",10,10,FALSE,TRUE,1,0.992786800697523
"seurat...162","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632116",10,10,FALSE,TRUE,1,1
"seurat...163","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632186",10,10,FALSE,TRUE,1,0.989128670529891
"seurat...164","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632197",10,10,FALSE,TRUE,1,0.950521402804463
"seurat...165","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632219",10,10,FALSE,TRUE,1,1
"seurat...166","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632221",10,10,FALSE,TRUE,1,0.953074953479219
"seurat...167","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632272",10,10,FALSE,TRUE,1,1
"seurat...168","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632325",10,10,FALSE,TRUE,1,1
"seurat...169","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632339",10,10,FALSE,TRUE,1,0.952414709704211
"seurat...170","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632349",10,10,FALSE,TRUE,1,1
"seurat...171","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632505",10,10,FALSE,TRUE,1,0.956663958044267
"seurat...172","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632543",10,10,FALSE,TRUE,1,1
"seurat...173","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632587",10,10,FALSE,TRUE,1,1
"seurat...174","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632597",10,10,FALSE,TRUE,1,1
"seurat...175","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632608",10,10,FALSE,TRUE,1,0.978698480178526
"seurat...176","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632627",10,10,FALSE,TRUE,1,0.985090143366587
"seurat...177","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632666",10,10,FALSE,TRUE,1,0.976060218120333
"seurat...178","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632715",10,10,FALSE,TRUE,1,1
"seurat...179","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632716",10,10,FALSE,TRUE,1,0.972953230861794
"seurat...180","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632728",10,10,FALSE,TRUE,1,1
"seurat...181","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632784",10,10,FALSE,TRUE,1,0.976196115485919
"seurat...182","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632810",10,10,FALSE,TRUE,1,0.970628542632374
"seurat...183","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632890",10,10,FALSE,TRUE,1,0.987307332039716
"seurat...184","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733632961",10,10,FALSE,TRUE,1,0.975087411460477
"seurat...185","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733633037",10,10,FALSE,TRUE,1,0.964352364844568
"seurat...186","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733633064",10,10,FALSE,TRUE,1,0.952994846665429
"seurat...187","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733633083",10,10,FALSE,TRUE,1,1
"seurat...188","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733633093",10,10,FALSE,TRUE,1,1
"seurat...189","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733633097",10,10,FALSE,TRUE,1,1
"seurat...190","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733633100",10,10,FALSE,TRUE,1,0.990939295251582
"seurat...191","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733633164",10,10,FALSE,TRUE,1,1
"seurat...192","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733633264",10,10,FALSE,TRUE,1,0.957728642259741
"seurat...193","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733633320",10,10,FALSE,TRUE,1,1
"seurat...194","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733633380",10,10,FALSE,TRUE,1,1
"seurat...195","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733633411",10,10,FALSE,TRUE,1,0.984547682463394
"seurat...196","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733633444",10,10,FALSE,TRUE,1,0.948904363084864
"seurat...197","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1733636640",10,10,FALSE,TRUE,1,0.980384578654615
"seurat...198","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.15","1733636640",10,10,FALSE,TRUE,1,0.982688080496633
"seurat...199","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1733636640",10,10,FALSE,TRUE,1,1
"seurat...200","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1733636640",10,10,FALSE,TRUE,1,0.994685345269878
"seurat...201","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.8","1733636640",10,10,FALSE,TRUE,1,1
"seurat...202","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1733636649",10,10,FALSE,TRUE,1,1
"seurat...203","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.15","1733636649",10,10,FALSE,TRUE,1,1
"seurat...204","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1733636649",10,10,FALSE,TRUE,1,1
"seurat...205","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1733636649",10,10,FALSE,TRUE,1,1
"seurat...206","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.8","1733636649",10,10,FALSE,TRUE,1,1
"seurat...207","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1733636655",10,10,FALSE,TRUE,1,0.956063283366299
"seurat...208","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.15","1733636655",10,10,FALSE,TRUE,1,0.928389421730403
"seurat...209","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1733636655",10,10,FALSE,TRUE,1,0.948430313178695
"seurat...210","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1733636655",10,10,FALSE,TRUE,1,0.984047474046133
"seurat...211","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.8","1733636655",10,10,FALSE,TRUE,1,1
"seurat...212","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1733636657",10,10,FALSE,TRUE,1,0.965986706287266
"seurat...213","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.15","1733636657",10,10,FALSE,TRUE,1,1
"seurat...214","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1733636657",10,10,FALSE,TRUE,1,1
"seurat...215","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1733636657",10,10,FALSE,TRUE,1,1
"seurat...216","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.8","1733636657",10,10,FALSE,TRUE,1,1
"seurat...217","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1733636662",10,10,FALSE,TRUE,1,1
"seurat...218","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.15","1733636662",10,10,FALSE,TRUE,1,1
"seurat...219","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1733636662",10,10,FALSE,TRUE,1,1
