"","modelType","seed","nCellType","nSample","Batch","CancerType","pooled_scSTMseq","lm_scSTMseq"
"203","1729998950","scSTM",10,20,FALSE,FALSE,1,NA
"204","1729998950","scSTM",10,20,FALSE,FALSE,1,NA
"205","HighVar1","1729998950",10,20,FALSE,FALSE,1,1
"206","NullModel","1729998950",10,20,FALSE,FALSE,1,1
"207","1729998972","scSTM",10,20,FALSE,FALSE,1,NA
"208","1729998972","scSTM",10,20,FALSE,FALSE,1,NA
"209","1729998972","scSTM",10,20,FALSE,FALSE,1,NA
"210","HighVar1","1729998972",10,20,FALSE,FALSE,1,1
"211","NullModel","1729998972",10,20,FALSE,FALSE,1,1
"212","1729998976","scSTM",10,20,FALSE,FALSE,1,NA
"213","1729998976","scSTM",10,20,FALSE,FALSE,1,NA
"214","1729998976","scSTM",10,20,FALSE,FALSE,1,NA
"215","HighVar1","1729998976",10,20,FALSE,FALSE,1,1
"216","NullModel","1729998976",10,20,FALSE,FALSE,1,1
"217","1729998982","scSTM",10,20,FALSE,FALSE,1,NA
"218","1729998982","scSTM",10,20,FALSE,FALSE,1,NA
"219","1729998982","scSTM",10,20,FALSE,FALSE,1,NA
"220","HighVar1","1729998982",10,20,FALSE,FALSE,1,1
"221","NullModel","1729998982",10,20,FALSE,FALSE,1,1
"222","1729998993","scSTM",10,20,FALSE,FALSE,1,NA
"223","1729998993","scSTM",10,20,FALSE,FALSE,1,NA
"224","1729998993","scSTM",10,20,FALSE,FALSE,1,NA
"225","HighVar1","1729998993",10,20,FALSE,FALSE,1,1
"226","NullModel","1729998993",10,20,FALSE,FALSE,1,1
"227","1729998999","scSTM",10,20,FALSE,FALSE,1,NA
"228","1729998999","scSTM",10,20,FALSE,FALSE,1,NA
"229","1729998999","scSTM",10,20,FALSE,FALSE,1,NA
"230","HighVar1","1729998999",10,20,FALSE,FALSE,1,1
"231","NullModel","1729998999",10,20,FALSE,FALSE,1,1
"232","1729999028","scSTM",10,20,FALSE,FALSE,1,NA
"233","1729999028","scSTM",10,20,FALSE,FALSE,1,NA
"234","1729999028","scSTM",10,20,FALSE,FALSE,1,NA
"235","HighVar1","1729999028",10,20,FALSE,FALSE,1,1
