"","modelType","seed","nCellType","nSample","Batch","CancerType","ARI"
"103","HighVar0.3","1732165770",10,20,TRUE,TRUE,0.758250406807088
"104","HighVar0.4","1732165770",10,20,TRUE,TRUE,0.807042134572827
"105","NullModel","1732165770",10,20,TRUE,TRUE,0.765092817158822
"106","HighVar0.1","1732165796",10,20,TRUE,TRUE,0.728204080470993
"107","HighVar0.16","1732165796",10,20,TRUE,TRUE,0.709638595069165
"108","HighVar0.23","1732165796",10,20,TRUE,TRUE,0.676093831816619
"109","HighVar0.3","1732165796",10,20,TRUE,TRUE,0.671386631482331
"110","HighVar0.4","1732165796",10,20,TRUE,TRUE,0.66402462178714
"111","NullModel","1732165796",10,20,TRUE,TRUE,0.686654382026361
"112","HighVar0.1","1732165808",10,20,TRUE,TRUE,0.830199517491448
"113","HighVar0.16","1732165808",10,20,TRUE,TRUE,0.836582620218572
"114","HighVar0.23","1732165808",10,20,TRUE,TRUE,0.814294889339344
"115","HighVar0.3","1732165808",10,20,TRUE,TRUE,0.822304926668677
"116","HighVar0.4","1732165808",10,20,TRUE,TRUE,0.821199689845541
"117","NullModel","1732165808",10,20,TRUE,TRUE,0.827819306935887
"118","HighVar0.1","1732165811",10,20,TRUE,TRUE,0.796101036825048
"119","HighVar0.16","1732165811",10,20,TRUE,TRUE,0.763940545326844
"120","HighVar0.23","1732165811",10,20,TRUE,TRUE,0.783833697453478
"121","HighVar0.3","1732165811",10,20,TRUE,TRUE,0.778819374563749
"122","HighVar0.4","1732165811",10,20,TRUE,TRUE,0.821220641062204
"123","NullModel","1732165811",10,20,TRUE,TRUE,0.834855728713098
"124","HighVar0.1","1732165814",10,20,TRUE,TRUE,0.759863581574059
"125","HighVar0.16","1732165814",10,20,TRUE,TRUE,0.743810669116732
"126","HighVar0.23","1732165814",10,20,TRUE,TRUE,0.783913855156866
"127","HighVar0.3","1732165814",10,20,TRUE,TRUE,0.803503206946028
"128","HighVar0.4","1732165814",10,20,TRUE,TRUE,0.740438359358302
"129","NullModel","1732165814",10,20,TRUE,TRUE,0.746265237254768
"130","HighVar0.1","1732165818",10,20,TRUE,TRUE,0.778886945518595
"131","HighVar0.16","1732165818",10,20,TRUE,TRUE,0.70544822784239
"132","HighVar0.23","1732165818",10,20,TRUE,TRUE,0.752888024271604
"133","HighVar0.3","1732165818",10,20,TRUE,TRUE,0.745884031932783
"134","HighVar0.4","1732165818",10,20,TRUE,TRUE,0.772920183915628
