"","scSTMType","modelType","seed","nCellType","nSample","Batch","CancerType","Num_iter","Num_init","max_llh","llh5","llh10","llh15","llh30","llh50","pooled_scSTMseq"
"119","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763365",10,10,TRUE,TRUE,15,50,-723723946.390493,-724413218.208577,-724184614.347949,-724050262.55046,-723855071.984841,-723754684.79035,0.952862826396851
"120","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763381",10,10,TRUE,TRUE,15,50,-806050116.190851,-807942661.371103,-806776587.59401,-806427197.747404,-806159681.589989,-806059717.416055,0.756822225056762
"121","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,30,15,-766328744.028797,-767798782.669612,-767109127.584565,-766848902.687314,-766533054.032023,-766390047.219725,0.851414900607033
"122","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,30,15,-807751413.294713,-808826547.870404,-808434094.111219,-808260792.77877,-808019493.96942,-807873490.085729,0.951535152818642
"123","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,30,15,-820130395.461965,-821123932.92576,-820774446.112613,-820614042.616904,-820419687.772514,-820276155.87162,0.944584336234329
"124","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763236",10,10,TRUE,TRUE,30,15,-719849117.912976,-720858046.232416,-720324395.940956,-720169135.597985,-720009265.98717,-719891442.984292,0.95486331825726
"125","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763244",10,10,TRUE,TRUE,30,15,-778613821.112737,-783659452.379828,-781072510.672953,-780199499.45875,-779202175.102918,-778781628.147692,0.586940607264539
"126","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763246",10,10,TRUE,TRUE,30,15,-822734771.53867,-823805854.133397,-823082849.608154,-822902717.736117,-822774743.25182,NA,0.982759382538141
"127","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763250",10,10,TRUE,TRUE,30,15,-696129254.682599,-698410426.05032,-697164004.241673,-696658331.812443,-696217315.949403,-696129254.682599,0.953654828173292
"128","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763254",10,10,TRUE,TRUE,30,15,-825778867.967998,-827186839.600402,-826411793.432548,-826158034.781083,-825857910.378795,-825781394.001618,0.95725303812667
"129","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763256",10,10,TRUE,TRUE,30,15,-750124661.37762,-751174496.758599,-750841903.217504,-750650088.663772,-750374717.140398,-750229146.447854,0.918292162096373
"130","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763269",10,10,TRUE,TRUE,30,15,-814625591.500398,-817181389.089036,-815869133.028366,-815394147.151965,-814880515.33622,-814695516.33805,0.887415383824445
"131","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763284",10,10,TRUE,TRUE,30,15,-703526696.737086,-708548365.225074,-705889543.346354,-704949349.480228,-704043316.947108,-703703320.578803,0.475397690630018
"132","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763287",10,10,TRUE,TRUE,30,15,-790437951.668236,-795581902.77892,-792768282.00011,-791905227.750988,-790883678.301522,-790563937.641338,0.641787430580229
"133","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763297",10,10,TRUE,TRUE,30,15,-748742922.617403,-749818054.984582,-749394941.053747,-749254000.69726,-749081112.697201,-748912539.443187,0.900668987403976
"134","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763305",10,10,TRUE,TRUE,30,15,-798958294.100845,-800107577.636975,-799706065.141869,-799488526.617806,-799203547.90181,-799035941.211394,0.965359771803217
"135","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763313",10,10,TRUE,TRUE,30,15,-722228574.053277,-723417934.171681,-722562634.875766,-722348121.201568,-722261253.847842,NA,0.975534179566207
"136","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763316",10,10,TRUE,TRUE,30,15,-789401073.502737,-790909841.368724,-790326172.15257,-790043971.494374,-789650389.971512,-789454290.066972,0.885615655349114
"137","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763321",10,10,TRUE,TRUE,30,15,-720644670.721302,-721650172.064254,-721262486.868677,-721090742.739449,-720888021.11358,-720765025.821717,0.8288281570286
"138","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763336",10,10,TRUE,TRUE,30,15,-767319146.670799,-768390497.100976,-767953202.335691,-767771800.754956,-767497837.580431,-767363638.438462,0.984852895426457
"139","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763365",10,10,TRUE,TRUE,30,15,-723723056.218626,-724414520.916667,-724187457.126894,-724055796.110302,-723857163.887058,-723756359.357335,0.951833997825262
"140","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763381",10,10,TRUE,TRUE,30,15,-805969994.171465,-811523532.461571,-808262633.247694,-807395152.301688,-806617678.649677,-806245208.368441,0.565221437118136
