"","scSTMType","modelType","seed","nCellType","nSample","Batch","CancerType","Num_iter","Num_init","method","init_llh","llh5","llh10","llh15","llh30","llh50","max_llh","pooled_scSTMseq"
"54","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763244",10,10,TRUE,TRUE,15,10,"Random",-994444802.35873,-784025288.709979,-780839925.680947,-779981622.426594,-779183410.051494,-778916410.046744,-778678116.879025,0.561483561551025
"55","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763244",10,10,TRUE,TRUE,15,10,"Random",-991085625.781359,-783831927.433221,-781066930.207055,-780179179.077251,-779354046.55987,-779024013.622446,-778763343.318016,0.593540777697074
"56","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763244",10,10,TRUE,TRUE,15,10,"Random",-993641005.80399,-783975027.547669,-781237167.461836,-780264113.631135,-779396349.745467,-779043798.576824,-778789107.805488,0.640997606032173
"57","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763244",10,10,TRUE,TRUE,15,10,"Random",-992274439.20801,-784281048.917719,-781499519.593938,-780446623.361879,-779424725.198804,-778988236.622273,-778746314.794865,0.549290601459437
"58","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763244",10,10,TRUE,TRUE,15,10,"Random",-993255088.517565,-784031667.070836,-781371555.407567,-780469906.35116,-779460009.229455,-779043469.449824,-778660691.872766,0.510013400773972
"59","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763244",10,10,TRUE,TRUE,15,10,"Random",-989609386.418542,-784045431.155852,-781329666.932493,-780475419.935178,-779491178.014143,-779096213.25091,-778758276.156583,0.48799343836589
"60","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763244",10,10,TRUE,TRUE,15,10,"Random",-992268715.009343,-783838046.612885,-781367760.257744,-780495817.955874,-779511865.156468,-778883173.326191,-778638118.705631,0.68549966040851
"61","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763244",10,10,TRUE,TRUE,15,10,"Random",-996598760.027396,-784276883.775503,-781539648.233679,-780516899.424493,-779350407.679756,-778878691.866181,-778621335.830227,0.708693522912825
"62","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763244",10,10,TRUE,TRUE,15,10,"Random",-994951782.859145,-784263794.175532,-781553513.797666,-780583114.246859,-779422199.881957,-778994300.461939,-778674601.112976,0.590368138031637
"63","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763244",10,10,TRUE,TRUE,15,10,"Random",-993843279.925495,-783934664.220929,-781437930.366487,-780609291.920827,-779494675.873206,-779019697.779572,-778701550.72079,0.40979308450634
"64","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,5,10,"TopicScore",-771258946.282888,-767799262.073364,-767108072.880964,-766848005.680782,-766532772.619582,-766393445.159271,-766369732.902557,0.852055426883438
"65","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,5,10,"TopicScore",-771252568.146445,-767799278.193207,-767109291.182362,-766849042.870353,-766535796.373292,-766390001.491351,-766347226.438926,0.84856206114573
"66","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,5,10,"TopicScore",-771259068.770929,-767799410.426051,-767108259.824039,-766848121.723845,-766533919.300437,-766391618.96804,-766355361.775174,0.849439660434846
"67","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,5,10,"TopicScore",-771257392.316614,-767802547.685164,-767112309.054614,-766851721.043622,-766535469.7903,-766390307.801487,-766329101.797713,0.8505759238135
"68","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,5,10,"TopicScore",-771278610.368275,-767838978.071853,-767157780.771118,-766901114.087371,-766642576.097334,-766513225.655795,-766351773.7619,0.834998149139586
"69","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,5,10,"TopicScore",-771278765.503275,-767839153.101285,-767157706.198393,-766901049.014801,-766643058.569835,-766514170.861943,-766353947.190041,0.834814400428204
"70","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,5,10,"TopicScore",-771278868.922624,-767839167.870038,-767157959.542286,-766901598.518289,-766642580.414601,-766516628.369695,-766351726.998152,0.833681226201892
