"","scSTMTyoe","modelType","seed","nCellType","nSample","Batch","CancerType","pooled_scSTMseq"
"137","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.23","1730959119",10,20,FALSE,TRUE,1
"138","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959119",10,20,FALSE,TRUE,1
"139","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959119",10,20,FALSE,TRUE,1
"140","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1730959127",10,20,FALSE,TRUE,1
"141","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.16","1730959127",10,20,FALSE,TRUE,1
"142","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.23","1730959127",10,20,FALSE,TRUE,1
"143","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959127",10,20,FALSE,TRUE,1
"144","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959127",10,20,FALSE,TRUE,1
"145","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1730959131",10,20,FALSE,TRUE,1
"146","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.16","1730959131",10,20,FALSE,TRUE,1
"147","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.23","1730959131",10,20,FALSE,TRUE,1
"148","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959131",10,20,FALSE,TRUE,1
"149","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959131",10,20,FALSE,TRUE,1
"150","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1730959138",10,20,FALSE,TRUE,1
"151","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.16","1730959138",10,20,FALSE,TRUE,1
"152","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.23","1730959138",10,20,FALSE,TRUE,1
"153","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959138",10,20,FALSE,TRUE,1
"154","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959138",10,20,FALSE,TRUE,1
"155","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1730959144",10,20,FALSE,TRUE,1
"156","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.16","1730959144",10,20,FALSE,TRUE,1
"157","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.23","1730959144",10,20,FALSE,TRUE,1
"158","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959144",10,20,FALSE,TRUE,1
"159","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959144",10,20,FALSE,TRUE,1
"160","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1730959151",10,20,FALSE,TRUE,1
"161","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.16","1730959151",10,20,FALSE,TRUE,1
"162","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.23","1730959151",10,20,FALSE,TRUE,1
"163","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959151",10,20,FALSE,TRUE,1
"164","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959151",10,20,FALSE,TRUE,1
"165","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.1","1730959154",10,20,FALSE,TRUE,1
"166","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.16","1730959154",10,20,FALSE,TRUE,1
"167","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.23","1730959154",10,20,FALSE,TRUE,1
"168","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.3","1730959154",10,20,FALSE,TRUE,1
"169","scSTM_Pooled_noContent_Prevalence_Time","HighVar0.4","1730959154",10,20,FALSE,TRUE,1
