"","sim","seed","effectSize","scSTM_noContent_Sample_cluster","scSTM_C_P_Time_cluster","scSTM_C_P_TandR_cluster","fastTopics_cluster","seurat_cluster","sctransform_cluster","monocle3_cluster"
"30","1726262284_effectSize0.4","1726262284","effectSize0.4",NA,NA,0.410556291696367,0.0983571259408188,0.299420198627217,0.298969217190708,0.440989656991846
"31","1726262284_effectSize0.7","1726262284","effectSize0.7",NA,NA,0.293958286753834,0.0973936972974731,0.296708694748065,0.296382737642636,0.462459161822268
"32","1726262284_effectSize1","1726262284","effectSize1",NA,NA,0.27974937079643,0.0971927557687505,0.294367793932767,0.293679055626208,0.440577912832797
"33","1726262290_effectSize0.1","1726262290","effectSize0.1",NA,NA,0.417402138844933,0.11560887296999,0.294958132226912,0.294770835903149,0.394847764281221
"34","1726262290_effectSize0.4","1726262290","effectSize0.4",NA,NA,0.242467872213789,0.121189046229505,0.287737097457732,0.287539176677601,0.386965120991388
"35","1726262290_effectSize0.7","1726262290","effectSize0.7",NA,NA,0.294066674932181,0.118291563715138,0.283981860172073,0.284131526039027,0.383374778302927
"36","1726262290_effectSize1","1726262290","effectSize1",NA,NA,0.322189364452994,0.118243914008122,0.2829102539201,0.282720560448197,0.379132127066827
"37","1726262305_effectSize0.1","1726262305","effectSize0.1",NA,NA,0.37102669868738,0.239479039742961,0.340792842505093,0.340348774530707,0.629424771100453
"38","1726262305_effectSize0.4","1726262305","effectSize0.4",NA,NA,0.371976517809456,0.232014796343729,0.338002783663181,0.337522372731967,0.603824663244267
"39","1726262305_effectSize0.7","1726262305","effectSize0.7",NA,NA,0.382138897816207,0.176906216434962,0.33577811932695,0.335739672084697,0.607259186421252
"40","1726262305_effectSize1","1726262305","effectSize1",NA,NA,0.402814356191199,0.23243031341303,0.335518540429556,0.335535090240457,0.634810331902353
"41","1726262318_effectSize0.1","1726262318","effectSize0.1",NA,NA,0.332755986433349,NA,0.314801952544635,0.314741245274215,NA
"42","1726262318_effectSize0.4","1726262318","effectSize0.4",NA,NA,0.269941658151934,NA,0.309932144230246,0.30935691815374,NA
"43","1726262318_effectSize0.7","1726262318","effectSize0.7",NA,NA,0.296028587382532,NA,0.304920325935488,0.30483234326609,NA
"44","1726262318_effectSize1","1726262318","effectSize1",NA,NA,0.266875146353993,NA,0.304700929886737,0.304567523048503,NA
